#,geo_country,unique_songs,unique_artists,total_plays,download_rate,favorite_rate,playlist_rate,repost_rate
97,BO,2,2,12654,0.0821,0.0125,0.0099,0.0001
98,DZ,2,2,10285,0.2296,0.0200,0.0135,0.0010
99,RU,3,3,9905,0.0133,0.0021,0.0009,0.0000
100,JP,2,2,9576,0.0223,0.0249,0.0021,0.0001
101,IQ,2,2,8939,0.0926,0.0045,0.0030,0.0001
102,CH,1,1,7130,0.0000,0.0000,0.0000,0.0000
103,SG,2,2,6848,0.0694,0.0038,0.0085,0.0004
104,BW,2,2,6207,0.3549,0.0079,0.0110,0.0002
105,MN,2,2,6089,0.1074,0.0076,0.0054,0.0002
106,GA,1,1,3883,0.2866,0.0100,0.0082,0.0008
107,KR,1,1,3542,0.0463,0.0025,0.0008,0.0008
108,HR,1,1,3126,0.0940,0.0128,0.0189,0.0000
109,,1,1,3079,0.1345,0.0023,0.0019,0.0006
110,VN,1,1,3035,0.0053,0.0016,0.0171,0.0026
