"artist","geo_country","total_events","plays"
"Max Musc","US","11085","5501"
"BASSYY, TORRRES","PR","8937","5438"
"Ayetian","GY","10094","5302"
"Jahmiel","NG","10361","5270"
"Fat Joe & Lil Wayne","GH","10940","5266"
"AzChike","US","9786","5261"
"RW 5ive & Yksteexy","US","9390","5239"
"Boy Muller, Adex Berry","NG","11092","5183"
"Inès Raguël","HT","8654","5171"
"Lil Tjay & Polo G","NG","10463","5159"
"Neon Sage","PH","9801","5107"
"Vybz Kartel","MW","10020","5079"
"Bravo the Bagchaser","US","9410","5064"
"Dxtiny","CM","9453","5046"
"Erma","LR","8075","5045"
"RajahWild & Cash Code","TT","9745","5041"
"TEC","US","9464","5039"
"Zlatan","NG","9177","5017"
"Dj Glitter, D Glitter Dj","NG","10306","4971"
"Ayesha Erotica","US","9090","4954"
"salvia palth","US","9688","4947"
"Blueface","US","9102","4944"
"Vybz Kartel","TT","8668","4870"
"Mitski","CA","9134","4782"
"FaTTi","AL","8568","4777"
"Pablo YG & Cash Code","JM","9112","4771"
"Vybz Kartel feat. Ishawna","JM","7833","4727"
"92Legend","GH","10123","4718"
"Emma Heesters","NG","10287","4681"
"Vybz Kartel","SL","9366","4671"
"Buta & Singi","XK","7874","4650"
"Phillip Presswood","NG","8898","4601"
"DJ Khaled","GH","8828","4592"
"FaTTi","XK","8224","4561"
"FAVE","GH","8872","4532"
"Buta, Lumi B & Singi","XK","7607","4492"
"Artur","XK","7781","4472"
"Matolale","XK","7624","4440"
"Teebone & Cash Code","JM","8320","4394"
