"source_tab","section","event_count"
,"Browse - Top Songs","21221"
"My Library","Browse - Recommendations","20166"
"My Library","Search - All Music","19889"
"Search","Playlists - Angry","19683"
,"Trending Songs","19621"
"Search","Profile - Top Albums","19455"
"My Library","Profile - Appears On","19440"
"Search","Playlists - Focus","18982"
"Playlists","Playlists - Offline Music","18638"
"My Library","Smart Share Link","18579"
"My Library","My Library - For You Playlists","18570"
"Search","Playlists - Latin","18300"
"Search","Playlists - Electronic","18164"
"Search","Browse - Recommendations","18004"
"Browse","Browse - Punjabi Playlists Playlists","18000"
"Search","Playlists - Afrosons","17711"
"Charts","Player - More from artist","17109"
"Search","Playlists - Jazz","17067"
"Browse","Notifications","16897"
"Browse","World","16327"
"My Library","Similar Playlists","15997"
"Search","Playlists - Triste","15787"
"Browse","Browse - Country Playlists Playlists","15444"
"My Library","Widget","15417"
"Charts","Player - Appears On","14956"
"Search","Playlists - Amour","14847"
,"Profile - Playlists","14782"
"Charts","Profile - Favorites","13996"
,"Profile - Favorites","13822"
,"Player - Appears On","13628"
"Feed","Player - More from artist","13613"
,"Playlists - Verified Series","13225"
"Browse","Browse - Popular Playlists in Germany Playlists","12661"
"Charts","Sponsored Songs - Queue End Autoplay","11917"
"Search","Smart Share Link","11721"
"Browse","Browse - Latin Playlists Playlists","11601"
"Browse","Browse - Popular Playlists in the UK Playlists","11184"
,"Queue","10889"
"Playlists","Similar Playlists","10778"
"Browse","Browse - Pop Playlists Playlists","10717"
,"Profile - Appears On","10634"
,"Sponsored Songs - Queue End Autoplay","10191"
"Search","Playlists - Dormir","9732"
"Feed","Profile - Re-Ups","9356"
"Browse","Browse - Offline Playlists","9035"
"Browse","Browse - Top Songs","8994"
"Search","Playlists - Hip-hop","8897"
"Browse","Browse - Popular Playlists in France Playlists","8866"
"Feed","Profile - Recent Songs","8680"
,"Trending Albums","8639"
"Search","Playlists - Amor","8540"
,"Profile - Recent Songs","8485"
,"Similar Playlists","8455"
"Playlists","Playlists - Tastemaker Spotlight ","8372"
"Search","Playlists - Sexo","8275"
"Feed","My Library - Mix Stations","8187"
"Playlists","Playlists - What's New","7941"
,"Browse - Recently Added","7939"
,"/my-library/playlists","7793"
"Feed","Player - Appears On","7701"
"Feed","Sponsored Songs - Queue End Autoplay","7418"
"Feed","Deeplink","7378"
"Browse","Browse - Electronic Playlists Playlists","7134"
"Charts","Profile - Re-Ups","7076"
"Search","Playlists - Fiesta","7074"
"Search","Playlists - Sexe","6916"
