"artist","title","latest_distributor_name","total_plays","total_engagements","unique_users","geo_country","geo_region"
"Julie Doiron","August 10","Audiosalad Direct","1884","32","812","US","TX"
"Vybz Kartel","Polite","Audiosalad Direct","5215","32","3863","GH","AA"
"Mitski","My Love Mine All Mine","Audiosalad Direct","478","31","164","US","NC"
"Dxtiny","Uncle Pele","Audiosalad Direct","11941","31","7349","GH","AA"
"Bryant Myers","Como Panas","Audiosalad Direct","2182","31","1107","PR",
"Eddy G Bomba & Cash Code","Luigi","Audiosalad Direct","15260","31","10743","JM","01"
"Vybz Kartel feat. Ishawna","Porn Flick","Audiosalad Direct","3170","30","2516","GH","AA"
"Mitski","My Love Mine All Mine","Audiosalad Direct","212","30","122","US","VA"
"Chronic Law","One Life","Audiosalad Direct","1811","29","1145","JM",
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","Audiosalad Direct","468","29","287","SL","W"
"Viqtorioz feat. Shakkar","Cosign","Audiosalad Direct","2476","29","1222","NG","LA"
"Buta","Vivaldi","Audiosalad Direct","7388","28","2479","XK",
"Mitski","My Love Mine All Mine","Audiosalad Direct","603","28","173","US","IL"
"Fido","Awolowo (Remix)","Audiosalad Direct","6968","28","5914","NG","FC"
"Squash","Like This","Audiosalad Direct","1145","28","656","GY","DE"
"Dxtiny","Babcock","Audiosalad Direct","10257","28","4068","NG","FC"
"Vybz Kartel","Dancehall","Audiosalad Direct","2790","27","2209","GH","AA"
"Vybz Kartel","Gon' Get Better","Audiosalad Direct","3002","27","2373","GH","AA"
"Squash","Like This","Audiosalad Direct","2693","27","1920","JM",
"Vybz Kartel","God is The Greatest","Audiosalad Direct","8680","27","5025","JM",
"Dxtiny","Uncle Pele","Audiosalad Direct","15934","26","11355","NG","OY"
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","Audiosalad Direct","8120","26","6469","NG","RI"
"Squash","Know Bout Dat","Audiosalad Direct","1061","26","340","US","NY"
"Peeray","Remember","Audiosalad Direct","5947","26","3741","NG","RI"
"Erma","DYANA","Audiosalad Direct","4620","26","2860","NG","ED"
"Inès Raguël","Je Tombe","Audiosalad Direct","7838","26","6918","NG","RI"
"Kuami Eugene","Confusion","Audiosalad Direct","3433","26","2796","GH","AA"
"RIECHY","SAD STORY","Audiosalad Direct","569","25","482","GH","AA"
"Fido","Awolowo (Remix)","Audiosalad Direct","5185","25","4450","NG","OY"
"Vybz Kartel","Enchanting","Audiosalad Direct","2547","25","2020","GH","AA"
"Inès Raguël","Je Tombe","Audiosalad Direct","4509","25","4096","HT","OU"
"Mitski","My Love Mine All Mine","Audiosalad Direct","445","25","235","US","GA"
"Siicie","Alhamdulillah","Audiosalad Direct","5002","25","4196","NG","FC"
"Anodaboy","Mon Bébé","Audiosalad Direct","2369","25","2048","GH","AA"
"TheFeyiii & Boy Muller","Forex Boys","Audiosalad Direct","3884","25","1623","NG","ED"
"Siicie & Lasmid","Do You Know?","Audiosalad Direct","3321","23","2293","SL","W"
"Tanveer Evan","Jaane Kyun","Audiosalad Direct","1315","23","833","BD","C"
"Squash","Know Bout Dat","Audiosalad Direct","1688","23","916","JM","14"
"Buta","Si Dje Si Sot","Audiosalad Direct","4688","23","1754","XK",
"Tay Iwar","Reflection Station","Audiosalad Direct","2574","23","2163","NG","OY"
"Vybz Kartel","Amout","Audiosalad Direct","5174","23","3825","JM","01"
"Dxtiny","Uncle Pele","Audiosalad Direct","6131","22","3735","SL","W"
"Matolale","Asaj","Audiosalad Direct","6482","22","2026","AL","11"
"Peeray","Remember","Audiosalad Direct","2798","22","1820","NG","OY"
"Vybz Kartel","God is The Greatest","Audiosalad Direct","5169","22","3089","NG","LA"
"FAVE","N.B.U","Audiosalad Direct","7123","22","5394","NG","LA"
"Mitski","My Love Mine All Mine","Audiosalad Direct","819","22","481","PH","40"
"Pappy Jonah","Hold The Bed (Ta Ta Ta)","Audiosalad Direct","6407","22","3956","GH","AA"
"Anodaboy","Mon Bébé","Audiosalad Direct","2320","21","2101","NG","LA"
"Tekno","Wash","Audiosalad Direct","5056","21","3865","NG","LA"
"Squash","Know Bout Dat","Audiosalad Direct","2668","21","1338","JM","08"
"Ayetian","Bagga Rrr","Audiosalad Direct","7687","21","5261","JM","01"
"Dxtiny","Uncle Pele","Audiosalad Direct","7649","21","6177","NG","AN"
"Dafina Zeqiri","Ta Dish","Audiosalad Direct","5591","21","2972","XK",
"Buta","Nalt","Audiosalad Direct","6473","21","2209","XK",
"Tommy Lee Sparta feat. Attomatic & Dan Sky","Price","Audiosalad Direct","8352","21","5131","JM","01"
"Siicie","Alhamdulillah","Audiosalad Direct","2114","21","1892","NG","OY"
"Taken","Para","Audiosalad Direct","3059","20","29","NG","FC"
"Inès Raguël","Je Tombe","Audiosalad Direct","2096","20","1784","GH","AH"
"Viqtorioz feat. Shakkar","Cosign","Audiosalad Direct","1083","20","880","GH","AH"
"Tay Iwar","Reflection Station","Audiosalad Direct","4519","20","3415","NG","FC"
"Mitski","My Love Mine All Mine","Audiosalad Direct","539","19","397","PH","07"
"RajahWild & Cash Code","Planet To Planet","Audiosalad Direct","10387","19","6635","JM",
"Limoblaze","Calling (Bless Me)","Audiosalad Direct","2611","19","1901","NG","LA"
"Ayetian","Bagga Rrr","Audiosalad Direct","4983","19","2797","GY","DE"
"Ceo Guccii","Soulja Gurl","Audiosalad Direct","470","19","136","US","TX"
"Buta","24h","Audiosalad Direct","5097","19","1734","XK",
"Siicie & Lasmid","Do You Know?","Audiosalad Direct","3640","19","2717","NG",
"Siicie","Alhamdulillah","Audiosalad Direct","3298","19","2738","NG","RI"
"Mitski","My Love Mine All Mine","Audiosalad Direct","182","19","121","US","PA"
"Erma","DYANA","Audiosalad Direct","2892","19","1755","NG","EN"
"Dxtiny","Babcock","Audiosalad Direct","3315","18","1838","NG",
"Dxtiny, Tension","Sew-Tape","Audiosalad Direct","4347","18","3077","NG","LA"
"Vybz Kartel","Unstoppable","Audiosalad Direct","454","18","344","ZW","HA"
"Sylent Nqo","Huya","Audiosalad Direct","1282","18","611","ZW","HA"
"Fat Joe & Lil Wayne","Make It Rain","Audiosalad Direct","4127","18","3345","GH","AA"
"Rich Homie Quan","Type of Way","Audiosalad Direct","1242","17","762","US","TX"
"DJ Kaywise & Phyno","High Way","Audiosalad Direct","3846","17","3499","NG","LA"
"Siicie & Lasmid","Do You Know?","Audiosalad Direct","3149","17","2776","LR","MO"
"Danfo Drivers","Danfo Driver (Ragga Version)","Audiosalad Direct","2496","17","1974","NG","LA"
"Squash","Know Bout Dat","Audiosalad Direct","1535","17","439","US","FL"
"Fido","Awolowo (Remix)","Audiosalad Direct","2477","17","1885","GH","AA"
"Erma","DYANA","Audiosalad Direct","2593","17","1989","SL","W"
"Qdot, DjFaya","Omo Adugbo","Audiosalad Direct","10630","17","8686","NG","LA"
"Vybz Kartel","God is The Greatest","Audiosalad Direct","3509","17","1540","US","NY"
"Mitski","My Love Mine All Mine","Audiosalad Direct","524","17","294","PH","11"
"Dxtiny","Uncle Pele","Audiosalad Direct","8023","17","5427","NG","ED"
"Erma","DYANA","Audiosalad Direct","2636","17","1762","TZ","02"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","Audiosalad Direct","4759","17","3927","NG","FC"
"Dxtiny","Babcock","Audiosalad Direct","4935","17","1806","NG","OY"
"Mitski","My Love Mine All Mine","Audiosalad Direct","187","17","91","US","MI"
"Buta & YA NINA","20 Gram","Audiosalad Direct","5520","17","1980","XK",
"4Fargo & Eric Bellinger","Your Love Is Gold","Audiosalad Direct","711","17","627","NG","LA"
"Danfo Drivers","Danfo Driver (Hip Hop Mix)","Audiosalad Direct","2390","17","1983","NG","LA"
"Bella Alubo","Bad Company","Audiosalad Direct","1079","17","838","NG","LA"
"TheFeyiii & Boy Muller","Forex Boys","Audiosalad Direct","4817","17","2815","NG",
"Squash","Get Up","Audiosalad Direct","2387","17","1574","GY","DE"
"Inès Raguël","Je Tombe","Audiosalad Direct","1523","17","1328","NG","EN"
"Vybz Kartel","God is The Greatest","Audiosalad Direct","3343","17","1987","GY","DE"
"Eddy G Bomba & Cash Code","Luigi","Audiosalad Direct","9655","16","6559","JM",
"Inès Raguël","Je Tombe","Audiosalad Direct","2940","16","2536","LR","MO"
"Jahmiel","Greatness Is All I Know","Audiosalad Direct","3146","16","2364","GH","AA"
"DJ Storm featuring U.S.D.A. and Young Jeezy","White Girl (feat. U.S.D.A. & Young Jeezy)","Audiosalad Direct","1","16","1","US","LA"
"Ceo Guccii","No Buttonz","Audiosalad Direct","892","16","270","US","TX"
"Mac DeMarco","For the First Time","Audiosalad Direct","1091","16","416","US","TX"
"Dafina Zeqiri & Mossi","Prit","Audiosalad Direct","3452","16","2041","XK",
"Adamu Hassan Nagudu","Gasa","Audiosalad Direct","2","16","1","NG","LA"
"Kuami Eugene","No More","Audiosalad Direct","3246","16","2890","GH","AA"
"Buta","Lilo & Stitch","Audiosalad Direct","4278","16","1427","XK",
"Mitski","My Love Mine All Mine","Audiosalad Direct","219","16","107","US","NJ"
"Siicie & Lasmid","Do You Know?","Audiosalad Direct","2780","16","2460","LR",
"Fido","Awolowo","Audiosalad Direct","7335","16","7090","NG",
"Erma","DYANA","Audiosalad Direct","2627","16","2309","LR","MO"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","Audiosalad Direct","4256","15","3179","NG","OY"
"Mitski","My Love Mine All Mine","Audiosalad Direct","305","15","87","US","MD"
"C Stunna & Real Boston Richey","Lose Control","Audiosalad Direct","851","15","530","US","FL"
"Fido","Awolowo","Audiosalad Direct","5782","15","4119","SL","W"
"Ayetian","Bagga Rrr","Audiosalad Direct","3051","15","1976","TT","POS"
"Tekno","Pana","Audiosalad Direct","1994","15","1625","NG","LA"
"TORRRES","TAIS","Audiosalad Direct","712","15","293","PR",
"Ayetian","Bagga Rrr","Audiosalad Direct","4358","15","2726","TT","CHA"
"Anike feat. Bayo & Yele","WITH YOU","Audiosalad Direct","996","15","983","GH","AA"
"Kuami Eugene","Wish Me Well","Audiosalad Direct","2716","15","2378","GH","AA"
