"table_schema","table_name"
"gold","dgc_playlists_cross_genre_ww"
"gold","dgc_playlists_cross_genre_ww_v001"
"gold","dgc_playlists_punjabi_by_country"
"gold","dgc_playlists_punjabi_by_country_v001"
"gold","dgc_playlists_punjabi_by_region"
"gold","dgc_playlists_punjabi_by_region_v001"
"gold","dgc_playlists_punjabi_ww"
"gold","dgc_playlists_punjabi_ww_v001"
"gold","dgc_weighted_playlist_events"
"gold","dgc_weighted_playlist_events_v001"
"gold","distributors_verified_playlist_song_adds"
"gold","distributors_verified_playlist_song_adds_v001"
"gold","distributors_verified_playlist_song_adds_v002"
"gold","distributors_verified_playlist_song_adds_v003"
"gold","distributors_verified_playlist_song_adds_v004"
"gold","distributors_verified_playlist_song_adds_v005"
"gold","distributors_verified_playlist_song_adds_v006"
"gold","labels_verified_playlist_song_adds"
"gold","labels_verified_playlist_song_adds_v001"
"gold","labels_verified_playlist_song_adds_v002"
"gold","labels_verified_playlist_song_adds_v003"
"gold","labels_verified_playlist_song_adds_v004"
"gold","labels_verified_playlist_song_adds_v005"
"gold","labels_verified_playlist_song_adds_v006"
"gold","mp_debug_distributors_verified_playlist_song_adds_v001"
"gold","mp_debug_playlists_verified_v001"
"gold","playlist_feature_histo_v001"
"gold","playlist_feature_vocab_v001"
"gold","playlist_music_vectors_v001"
"gold","playlist_raw_features_v001"
"gold","playlist_similarity_v001"
"gold","simeng_playlist_raw_features_v001"
"gold","similar_playlist_features"
"gold","similar_playlist_features_hist"
"gold","similar_playlist_features_hist_v001"
"gold","similar_playlist_intersections"
"gold","similar_playlist_intersections_hist"
"gold","similar_playlist_intersections_hist_v001"
"gold","similar_playlist_recs"
"gold","similar_playlist_recs_hist"
"gold","similar_playlist_recs_hist_v001"
"gold","similar_playlist_recs_hist_v002"
"gold","similar_playlist_recs_hist_v003"
"gold","song_appears_on_playlists"
"gold","song_appears_on_playlists_latest"
"gold","song_appears_on_playlists_v001"
"gold","song_appears_on_playlists_v002"
"gold","song_appears_on_playlists_v003"
"redis_stats_archive","playlist_play"
"redis_stats_archive","playlist_pv"
