"artist","title","geo_country","plays","engagements"
"DJ Chris Cross, YTB Fatt","Do It","US","1125","31"
"Ca$h Out","She Twerkin","US","2182","31"
"Kuami Eugene","Confusion","GH","4228","31"
"Ark Patrol feat. Veronika Redd","Let Go","US","1274","31"
"Dj Spark Fire","Old School Mixtape (DJ Mix)","NG","1870","31"
"Danfo Drivers","No Matter What Them Do","NG","4505","30"
"Ziahfyah, ProdEli!","NINJAS JUMP AROUND #jerseyclub","US","1392","30"
"Vybz Kartel","Enchanting","GH","2937","30"
"Buta","Vivaldi","XK","7419","29"
"Karan Aujla, Manna Music","48 Rhymes","CA","2866","29"
"YFN Lucci","Missing You","US","3100","29"
"Squash","Shubout","JM","13311","29"
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","SL","472","29"
"49 Winchester","Anchor","US","2067","29"
"Anodaboy","Mon Bébé","GH","2777","29"
"Tekno","Duro","NG","5805","28"
"Ai Milly   & Darmain Stiile","Gyal Anthem","JM","15250","28"
"Jamal","Psalms","JM","17783","28"
"Squash","Like This","GY","1176","28"
"Tekno","Mama","NG","6648","28"
"Arijit Singh","Tum Hi Ho (From ""Aashiqui 2"")","IN","2091","28"
"TEC","Sweet Lady","US","2858","28"
"Rich Homie Quan","WWYD","US","3133","27"
"Aaron May","Let Go","US","1829","27"
"RajahWild & Cash Code","Planet To Planet","TT","5041","27"
"Mitski","My Love Mine All Mine","AU","230","27"
"Saint Avangeline","Lilith","US","1704","27"
"Fat Joe & Lil Wayne","Make It Rain","NG","8710","27"
"4Fargo & Eric Bellinger","Your Love Is Gold","US","1312","27"
"Ceo Guccii","No Buttonz","US","1765","27"
"Bway Yungy","Curveball","US","2050","26"
"Limoblaze & nobigdyl.","Power","NG","2928","26"
"92Legend","Where I Started","NG","4659","26"
"Mitski","Washing Machine Heart","US","1189","26"
"4Fargo & Eric Bellinger","Your Love Is Gold","NG","1756","26"
"Lay Bankz","Ick","US","1702","26"
"Squash","Know Bout Dat","TT","1722","26"
"Tekno","Skeletun","NG","9270","26"
"Pappy Jonah","Hold The Bed (Ta Ta Ta)","GH","6778","25"
"Siicie & Lasmid","Do You Know?","US","2756","25"
"Boy Muller, Adex Berry","Gaduz","NG","4024","25"
"92Legend","Broken Heart Surgery (Deluxe)","NG","0","25"
"Danfo Drivers","Iya Mi O","NG","3812","25"
"Jamal & Cash Code","Ballandor","JM","17346","25"
"Rich Homie Quan","Differences (Reloaded Version)","US","2460","25"
"Danfo Drivers","Danfo Drivers","NG","0","25"
"Notations","What More Can I Say","US","1684","25"
"Anike feat. Bayo & Yele","WITH YOU","NG","2837","24"
"Westhanboyz","Diallo","NG","7502","24"
"Ceo Guccii","Face of Drill","US","1521","24"
"Tay Iwar","Floating","NG","2254","24"
"¥$, Playboi Carti & Don Toliver feat. Kodak Black","FIELD TRIP","US","2763","24"
"Kuami Eugene","No More","GH","4020","24"
"D.Meletis","Afterlife Evanescence (From 'Devil May Cry Netflix') (Epic Version)","US","1217","24"
"Kash Doll & Tee Grizzley","Pressin'","US","2096","24"
"Fido","Awolowo","US","6655","24"
"Vybz Kartel","Str8 Vybz","JM","10572","24"
"Faye Webster","She Won't Go Away","US","1473","24"
"LIMIT NALA","Uvume Kanjani?","ZA","1785","24"
"Danfo Drivers","Semsimilla","NG","3288","23"
"Underground Sound","Benji Blue Bills Cypher Verse","US","2185","23"
"Mitski","My Love Mine All Mine","BR","696","23"
"MF DOOM","One Beer","US","1862","23"
"Lil Tjay & Polo G","Way Out The Hood II","US","1990","23"
"Buta","Si Dje Si Sot","XK","4707","23"
"Siicie & Lasmid","Do You Know?","SL","3343","23"
"Anike feat. Bayo & Yele","WITH YOU","GH","1222","22"
"LilBenny","Shattered Backboard","US","1804","22"
"Lay Bankz","Sloppy Seconds (Ick Pt. 2)","US","1533","22"
"Cherry Glazerr","Teenage Girl","US","1358","22"
